"","Table","Column","Type","Explication"
"1","Dhane_lulc_classes_code","gridcode","Numeric","Class ID"
"2","Dhane_lulc_classes_code","Classe","Text","Class name"
"3","Dhane_lulc_classes_code","Groupe","Text","Groub name"
"4","Dhane_lulc_year_2000","OID_","Text","Explication"
"5","Dhane_lulc_year_2001","CHUC_12_NM","Text","Watershed name"
"6","Dhane_lulc_year_2002","gridcode","Text","Class ID"
"7","Dhane_lulc_year_2003","Classe","Text","Class name"
"8","Dhane_lulc_year_2004","Groupe","Text","Groub name"
"9","Dhane_lulc_year_2005","Groupe_n","Numeric","Watershed ID"
"10","Dhane_lulc_year_2006","ID_map","Numeric","Polygon unique ID"
"11","Dhane_lulc_year_2020","OID_","Text","ArcGIS ID"
"12","Dhane_lulc_year_2021","CHUC_12_NM","Text","Watershed name"
"13","Dhane_lulc_year_2022","gridcode","Text","Class ID"
"14","Dhane_lulc_year_2023","Groupe","Text","Groub name"
"15","Dhane_lulc_year_2024","Groupe_n","Numeric","Watershed ID"
"16","Dhane_lulc_year_2025","ID_map","Numeric","Polygon unique ID"
